transaction_id,product_id,customer_id,transaction_date,online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost,product_first_sold_date,Profit,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,Age
14352,2,3135,2017-05-31,0.0,Approved,Solex,Standard,medium,medium,71.49,53.62,41245.0,17.869999999999997,Titus,Worsall,Male,83,1962-01-14,Staff Scientist,Financial Services,Mass Customer,N,No,16.0,62
16342,71,3135,2017-02-13,1.0,Approved,Solex,Standard,high,large,1842.92,1105.75,34996.0,737.1700000000001,Titus,Worsall,Male,83,1962-01-14,Staff Scientist,Financial Services,Mass Customer,N,No,16.0,62
5,78,787,2017-10-01,1.0,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,42226.0,1055.82,Norma,Batrim,Female,29,1996-12-15,Missing,Retail,Affluent Customer,N,Yes,2.0,27
1554,54,787,2017-01-24,1.0,Approved,WeareA2B,Standard,medium,medium,1292.84,13.44,37823.0,1279.4,Norma,Batrim,Female,29,1996-12-15,Missing,Retail,Affluent Customer,N,Yes,2.0,27
1558,83,787,2017-06-18,0.0,Approved,Solex,Touring,medium,large,2083.94,675.03,38339.0,1408.91,Norma,Batrim,Female,29,1996-12-15,Missing,Retail,Affluent Customer,N,Yes,2.0,27
3043,40,787,2017-08-08,1.0,Approved,OHM Cycles,Standard,high,medium,1458.17,874.9,39427.0,583.2700000000001,Norma,Batrim,Female,29,1996-12-15,Missing,Retail,Affluent Customer,N,Yes,2.0,27
3692,40,787,2017-06-30,1.0,Approved,OHM Cycles,Standard,high,medium,1458.17,874.9,36498.0,583.2700000000001,Norma,Batrim,Female,29,1996-12-15,Missing,Retail,Affluent Customer,N,Yes,2.0,27
3991,45,787,2017-09-10,1.0,Approved,Solex,Standard,medium,medium,441.49,84.99,35470.0,356.5,Norma,Batrim,Female,29,1996-12-15,Missing,Retail,Affluent Customer,N,Yes,2.0,27
4526,22,787,2017-02-16,1.0,Approved,WeareA2B,Standard,medium,medium,60.34,45.26,33552.0,15.080000000000004,Norma,Batrim,Female,29,1996-12-15,Missing,Retail,Affluent Customer,N,Yes,2.0,27
9138,31,787,2017-10-16,0.0,Approved,Giant Bicycles,Standard,medium,medium,230.91,173.18,37337.0,57.72999999999999,Norma,Batrim,Female,29,1996-12-15,Missing,Retail,Affluent Customer,N,Yes,2.0,27
13515,39,787,2017-04-01,1.0,Approved,Giant Bicycles,Standard,medium,large,1812.75,582.48,40336.0,1230.27,Norma,Batrim,Female,29,1996-12-15,Missing,Retail,Affluent Customer,N,Yes,2.0,27
18012,23,787,2017-05-30,1.0,Approved,Norco Bicycles,Mountain,low,small,688.63,612.88,40670.0,75.75,Norma,Batrim,Female,29,1996-12-15,Missing,Retail,Affluent Customer,N,Yes,2.0,27
6,25,2339,2017-03-08,1.0,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,39031.0,709.34,Damien,Haddeston,Male,3,1958-12-28,Web Designer II,Property,Affluent Customer,N,Yes,16.0,65
3369,60,2339,2017-05-21,0.0,Approved,Giant Bicycles,Standard,high,small,1977.36,1759.85,41047.0,217.51,Damien,Haddeston,Male,3,1958-12-28,Web Designer II,Property,Affluent Customer,N,Yes,16.0,65
7326,53,2339,2017-12-05,1.0,Approved,OHM Cycles,Standard,medium,medium,795.34,101.58,33259.0,693.76,Damien,Haddeston,Male,3,1958-12-28,Web Designer II,Property,Affluent Customer,N,Yes,16.0,65
8128,90,2339,2017-02-05,0.0,Approved,Norco Bicycles,Standard,low,medium,363.01,290.41,37539.0,72.59999999999997,Damien,Haddeston,Male,3,1958-12-28,Web Designer II,Property,Affluent Customer,N,Yes,16.0,65
8831,16,2339,2017-11-05,1.0,Approved,Norco Bicycles,Standard,high,small,1661.92,1479.11,39880.0,182.81000000000017,Damien,Haddeston,Male,3,1958-12-28,Web Designer II,Property,Affluent Customer,N,Yes,16.0,65
9443,68,2339,2017-12-19,1.0,Cancelled,OHM Cycles,Standard,medium,medium,1636.9,44.71,33879.0,1592.19,Damien,Haddeston,Male,3,1958-12-28,Web Designer II,Property,Affluent Customer,N,Yes,16.0,65
9934,25,2339,2017-07-22,1.0,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,33888.0,709.34,Damien,Haddeston,Male,3,1958-12-28,Web Designer II,Property,Affluent Customer,N,Yes,16.0,65
13760,29,2339,2017-04-04,0.0,Approved,Norco Bicycles,Road,medium,medium,543.39,407.54,34527.0,135.84999999999997,Damien,Haddeston,Male,3,1958-12-28,Web Designer II,Property,Affluent Customer,N,Yes,16.0,65
15991,45,2339,2017-02-06,1.0,Approved,Solex,Standard,medium,medium,441.49,84.99,38991.0,356.5,Damien,Haddeston,Male,3,1958-12-28,Web Designer II,Property,Affluent Customer,N,Yes,16.0,65
7,22,1542,2017-04-21,1.0,Approved,WeareA2B,Standard,medium,medium,60.34,45.26,34165.0,15.080000000000004,Sanders,Fernyhough,Male,56,1978-07-27,Food Chemist,Health,Mass Customer,N,Yes,12.0,45
4160,69,1542,2017-08-19,1.0,Approved,Giant Bicycles,Road,medium,medium,792.9,594.68,33879.0,198.22000000000003,Sanders,Fernyhough,Male,56,1978-07-27,Food Chemist,Health,Mass Customer,N,Yes,12.0,45
13247,16,1542,2017-02-15,1.0,Approved,Norco Bicycles,Standard,high,small,1661.92,1479.11,35378.0,182.81000000000017,Sanders,Fernyhough,Male,56,1978-07-27,Food Chemist,Health,Mass Customer,N,Yes,12.0,45
13388,28,1542,2017-07-10,0.0,Approved,Norco Bicycles,Standard,medium,small,1216.14,1082.36,34527.0,133.7800000000002,Sanders,Fernyhough,Male,56,1978-07-27,Food Chemist,Health,Mass Customer,N,Yes,12.0,45
17672,55,1542,2017-05-29,0.0,Approved,Trek Bicycles,Road,medium,large,1894.19,598.76,33259.0,1295.43,Sanders,Fernyhough,Male,56,1978-07-27,Food Chemist,Health,Mass Customer,N,Yes,12.0,45
8,15,2459,2017-07-15,0.0,Approved,WeareA2B,Standard,medium,medium,1292.84,13.44,39915.0,1279.4,Jeanna,Naulls,Female,67,1986-01-10,Quality Engineer,Manufacturing,High Net Worth,N,No,18.0,38
1406,50,2459,2017-05-13,1.0,Approved,Giant Bicycles,Standard,medium,medium,642.7,211.37,37337.0,431.33,Jeanna,Naulls,Female,67,1986-01-10,Quality Engineer,Manufacturing,High Net Worth,N,No,18.0,38
3356,0,2459,2017-07-26,0.0,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,38206.0,110.56,Jeanna,Naulls,Female,67,1986-01-10,Quality Engineer,Manufacturing,High Net Worth,N,No,18.0,38
5205,95,2459,2017-07-06,0.0,Approved,OHM Cycles,Touring,low,medium,1073.07,933.84,35455.0,139.2299999999999,Jeanna,Naulls,Female,67,1986-01-10,Quality Engineer,Manufacturing,High Net Worth,N,No,18.0,38
9783,30,2459,2017-07-24,0.0,Approved,OHM Cycles,Standard,medium,medium,1227.34,770.89,34556.0,456.44999999999993,Jeanna,Naulls,Female,67,1986-01-10,Quality Engineer,Manufacturing,High Net Worth,N,No,18.0,38
9952,99,2459,2017-08-29,0.0,Approved,Trek Bicycles,Road,low,small,1720.7,1531.42,38991.0,189.28,Jeanna,Naulls,Female,67,1986-01-10,Quality Engineer,Manufacturing,High Net Worth,N,No,18.0,38
10292,14,2459,2017-10-10,1.0,Approved,Solex,Standard,high,large,1842.92,1105.75,34996.0,737.1700000000001,Jeanna,Naulls,Female,67,1986-01-10,Quality Engineer,Manufacturing,High Net Worth,N,No,18.0,38
14324,0,2459,2017-11-07,1.0,Approved,Trek Bicycles,Road,medium,medium,533.51,400.13,41064.0,133.38,Jeanna,Naulls,Female,67,1986-01-10,Quality Engineer,Manufacturing,High Net Worth,N,No,18.0,38
17439,0,2459,2017-04-10,0.0,Approved,Norco Bicycles,Road,medium,medium,544.05,376.84,38647.0,167.20999999999998,Jeanna,Naulls,Female,67,1986-01-10,Quality Engineer,Manufacturing,High Net Worth,N,No,18.0,38
18393,5,2459,2017-05-22,1.0,Approved,Giant Bicycles,Standard,high,medium,1129.13,677.48,38573.0,451.6500000000001,Jeanna,Naulls,Female,67,1986-01-10,Quality Engineer,Manufacturing,High Net Worth,N,No,18.0,38
18873,96,2459,2017-05-20,1.0,Approved,Giant Bicycles,Standard,medium,large,1635.3,993.66,41434.0,641.64,Jeanna,Naulls,Female,67,1986-01-10,Quality Engineer,Manufacturing,High Net Worth,N,No,18.0,38
9,67,1305,2017-08-10,0.0,Approved,Solex,Standard,medium,large,1071.23,380.74,33455.0,690.49,Averil,Gentiry,Male,97,1970-03-01,Executive Secretary,Financial Services,High Net Worth,N,Yes,6.0,53
48,81,1305,2017-06-10,1.0,Approved,Solex,Standard,medium,medium,1151.96,649.49,41009.0,502.47,Averil,Gentiry,Male,97,1970-03-01,Executive Secretary,Financial Services,High Net Worth,N,Yes,6.0,53
1803,21,1305,2017-04-22,0.0,Approved,WeareA2B,Touring,medium,medium,1466.68,363.25,38693.0,1103.43,Averil,Gentiry,Male,97,1970-03-01,Executive Secretary,Financial Services,High Net Worth,N,Yes,6.0,53
5048,0,1305,2017-02-13,0.0,Approved,OHM Cycles,Standard,high,medium,227.88,136.73,39298.0,91.15,Averil,Gentiry,Male,97,1970-03-01,Executive Secretary,Financial Services,High Net Worth,N,Yes,6.0,53
9526,90,1305,2017-04-07,1.0,Approved,Solex,Standard,low,medium,945.04,507.58,40618.0,437.46,Averil,Gentiry,Male,97,1970-03-01,Executive Secretary,Financial Services,High Net Worth,N,Yes,6.0,53
10,12,3262,2017-08-30,1.0,Approved,WeareA2B,Standard,medium,medium,1231.15,161.6,38216.0,1069.5500000000002,Maynord,L'Episcopi,Male,65,1959-10-14,Product Engineer,Entertainment,Mass Customer,N,No,12.0,64
148,14,3262,2017-01-13,0.0,Approved,Trek Bicycles,Standard,medium,small,1386.84,1234.29,37838.0,152.54999999999995,Maynord,L'Episcopi,Male,65,1959-10-14,Product Engineer,Entertainment,Mass Customer,N,No,12.0,64
166,78,3262,2017-11-27,0.0,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,38193.0,1055.82,Maynord,L'Episcopi,Male,65,1959-10-14,Product Engineer,Entertainment,Mass Customer,N,No,12.0,64
2288,84,3262,2017-03-23,1.0,Approved,Trek Bicycles,Road,medium,medium,290.62,215.14,38339.0,75.48000000000002,Maynord,L'Episcopi,Male,65,1959-10-14,Product Engineer,Entertainment,Mass Customer,N,No,12.0,64
6484,53,3262,2017-12-16,0.0,Approved,OHM Cycles,Standard,medium,medium,795.34,101.58,35470.0,693.76,Maynord,L'Episcopi,Male,65,1959-10-14,Product Engineer,Entertainment,Mass Customer,N,No,12.0,64
6607,8,3262,2017-03-15,1.0,Approved,Solex,Road,medium,small,1703.52,1516.13,40649.0,187.38999999999987,Maynord,L'Episcopi,Male,65,1959-10-14,Product Engineer,Entertainment,Mass Customer,N,No,12.0,64
7021,98,3262,2017-10-11,0.0,Approved,Trek Bicycles,Standard,high,medium,358.39,215.03,38002.0,143.36,Maynord,L'Episcopi,Male,65,1959-10-14,Product Engineer,Entertainment,Mass Customer,N,No,12.0,64
8352,99,3262,2017-12-29,1.0,Approved,OHM Cycles,Standard,medium,medium,1227.34,770.89,34556.0,456.44999999999993,Maynord,L'Episcopi,Male,65,1959-10-14,Product Engineer,Entertainment,Mass Customer,N,No,12.0,64
8910,4,3262,2017-10-14,0.0,Approved,Giant Bicycles,Standard,high,medium,1129.13,677.48,38573.0,451.6500000000001,Maynord,L'Episcopi,Male,65,1959-10-14,Product Engineer,Entertainment,Mass Customer,N,No,12.0,64
10675,19,3262,2017-03-28,0.0,Approved,OHM Cycles,Road,high,large,12.01,7.21,39880.0,4.8,Maynord,L'Episcopi,Male,65,1959-10-14,Product Engineer,Entertainment,Mass Customer,N,No,12.0,64
11,5,1986,2017-01-17,0.0,Approved,Trek Bicycles,Mountain,low,medium,574.64,459.71,40784.0,114.93,Melania,Ruske,Female,53,1981-12-30,Missing,Retail,Mass Customer,N,No,16.0,42
6316,79,1986,2017-08-31,1.0,Approved,Norco Bicycles,Standard,medium,medium,1555.58,818.01,37873.0,737.5699999999999,Melania,Ruske,Female,53,1981-12-30,Missing,Retail,Mass Customer,N,No,16.0,42
14044,18,1986,2017-06-29,0.0,Approved,Solex,Standard,medium,medium,575.27,431.45,41345.0,143.82,Melania,Ruske,Female,53,1981-12-30,Missing,Retail,Mass Customer,N,No,16.0,42
14374,50,1986,2017-11-16,1.0,Approved,WeareA2B,Standard,medium,small,175.89,131.92,37668.0,43.97,Melania,Ruske,Female,53,1981-12-30,Missing,Retail,Mass Customer,N,No,16.0,42
18599,6,1986,2017-07-02,1.0,Approved,OHM Cycles,Standard,high,medium,227.88,136.73,37659.0,91.15,Melania,Ruske,Female,53,1981-12-30,Missing,Retail,Mass Customer,N,No,16.0,42
18624,89,1986,2017-01-15,1.0,Approved,WeareA2B,Touring,medium,large,1362.99,57.74,34079.0,1305.25,Melania,Ruske,Female,53,1981-12-30,Missing,Retail,Mass Customer,N,No,16.0,42
12,61,2783,2017-01-05,1.0,Approved,OHM Cycles,Standard,low,medium,71.16,56.93,42172.0,14.229999999999997,Antonin,Gleaves,Male,14,1978-08-24,Sales Representative,Retail,Affluent Customer,N,Yes,7.0,45
843,21,2783,2017-02-11,1.0,Approved,Solex,Standard,medium,large,1071.23,380.74,42404.0,690.49,Antonin,Gleaves,Male,14,1978-08-24,Sales Representative,Retail,Affluent Customer,N,Yes,7.0,45
2623,56,2783,2017-06-21,1.0,Approved,OHM Cycles,Standard,medium,medium,183.86,137.9,40779.0,45.96000000000001,Antonin,Gleaves,Male,14,1978-08-24,Sales Representative,Retail,Affluent Customer,N,Yes,7.0,45
5392,86,2783,2017-07-06,0.0,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,36367.0,110.56,Antonin,Gleaves,Male,14,1978-08-24,Sales Representative,Retail,Affluent Customer,N,Yes,7.0,45
9505,95,2783,2017-10-18,0.0,Approved,Giant Bicycles,Standard,medium,large,569.56,528.43,33364.0,41.13,Antonin,Gleaves,Male,14,1978-08-24,Sales Representative,Retail,Affluent Customer,N,Yes,7.0,45
9828,42,2783,2017-04-03,1.0,Approved,OHM Cycles,Road,medium,small,1810.0,1610.9,37668.0,199.0999999999999,Antonin,Gleaves,Male,14,1978-08-24,Sales Representative,Retail,Affluent Customer,N,Yes,7.0,45
13573,80,2783,2017-10-02,1.0,Approved,OHM Cycles,Touring,low,medium,1073.07,933.84,41533.0,139.2299999999999,Antonin,Gleaves,Male,14,1978-08-24,Sales Representative,Retail,Affluent Customer,N,Yes,7.0,45
13985,67,2783,2017-09-16,0.0,Approved,Norco Bicycles,Road,medium,medium,544.05,376.84,42710.0,167.20999999999998,Antonin,Gleaves,Male,14,1978-08-24,Sales Representative,Retail,Affluent Customer,N,Yes,7.0,45
15508,51,2783,2017-01-14,1.0,Approved,OHM Cycles,Standard,high,medium,2005.66,1203.4,39915.0,802.26,Antonin,Gleaves,Male,14,1978-08-24,Sales Representative,Retail,Affluent Customer,N,Yes,7.0,45
16819,99,2783,2017-10-18,0.0,Approved,OHM Cycles,Standard,medium,medium,1227.34,770.89,34556.0,456.44999999999993,Antonin,Gleaves,Male,14,1978-08-24,Sales Representative,Retail,Affluent Customer,N,Yes,7.0,45
18818,6,2783,2017-03-16,1.0,Approved,OHM Cycles,Standard,high,medium,227.88,136.73,33549.0,91.15,Antonin,Gleaves,Male,14,1978-08-24,Sales Representative,Retail,Affluent Customer,N,Yes,7.0,45
13,35,1243,2017-02-26,1.0,Approved,Trek Bicycles,Standard,low,medium,1057.51,154.4,34527.0,903.11,Robbert,Blakey,Male,73,1953-08-09,Research Assistant II,Retail,Mass Customer,N,No,8.0,70
5047,40,1243,2017-10-21,1.0,Cancelled,OHM Cycles,Standard,high,medium,1458.17,874.9,38750.0,583.2700000000001,Robbert,Blakey,Male,73,1953-08-09,Research Assistant II,Retail,Mass Customer,N,No,8.0,70
5804,67,1243,2017-01-24,1.0,Approved,Norco Bicycles,Road,medium,medium,544.05,376.84,38647.0,167.20999999999998,Robbert,Blakey,Male,73,1953-08-09,Research Assistant II,Retail,Mass Customer,N,No,8.0,70
8468,5,1243,2017-01-18,1.0,Approved,Trek Bicycles,Mountain,low,medium,574.64,459.71,40784.0,114.93,Robbert,Blakey,Male,73,1953-08-09,Research Assistant II,Retail,Mass Customer,N,No,8.0,70
11800,98,1243,2017-02-15,0.0,Approved,Trek Bicycles,Standard,high,medium,358.39,215.03,38002.0,143.36,Robbert,Blakey,Male,73,1953-08-09,Research Assistant II,Retail,Mass Customer,N,No,8.0,70
12261,11,1243,2017-04-21,1.0,Approved,Giant Bicycles,Standard,high,medium,1274.93,764.96,39298.0,509.97,Robbert,Blakey,Male,73,1953-08-09,Research Assistant II,Retail,Mass Customer,N,No,8.0,70
12646,14,1243,2017-04-08,1.0,Approved,Trek Bicycles,Standard,medium,small,1386.84,1234.29,37838.0,152.54999999999995,Robbert,Blakey,Male,73,1953-08-09,Research Assistant II,Retail,Mass Customer,N,No,8.0,70
14841,16,1243,2017-06-14,0.0,Approved,Norco Bicycles,Standard,high,small,1661.92,1479.11,34586.0,182.81000000000017,Robbert,Blakey,Male,73,1953-08-09,Research Assistant II,Retail,Mass Customer,N,No,8.0,70
19002,25,1243,2017-02-08,0.0,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,42404.0,709.34,Robbert,Blakey,Male,73,1953-08-09,Research Assistant II,Retail,Mass Customer,N,No,8.0,70
19850,44,1243,2017-03-02,0.0,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76,40672.0,1660.88,Robbert,Blakey,Male,73,1953-08-09,Research Assistant II,Retail,Mass Customer,N,No,8.0,70
14,16,2717,2017-09-10,0.0,Approved,Norco Bicycles,Standard,high,small,1661.92,1479.11,34586.0,182.81000000000017,Frederic,McGown,Male,31,1981-03-25,Registered Nurse,Health,Mass Customer,N,No,13.0,42
2942,51,2717,2017-07-04,1.0,Approved,OHM Cycles,Standard,high,medium,2005.66,1203.4,41009.0,802.26,Frederic,McGown,Male,31,1981-03-25,Registered Nurse,Health,Mass Customer,N,No,13.0,42
3595,10,2717,2017-03-11,1.0,Approved,WeareA2B,Touring,medium,medium,1466.68,363.25,41701.0,1103.43,Frederic,McGown,Male,31,1981-03-25,Registered Nurse,Health,Mass Customer,N,No,13.0,42
5681,32,2717,2017-11-19,1.0,Approved,Giant Bicycles,Standard,medium,medium,642.7,211.37,37337.0,431.33,Frederic,McGown,Male,31,1981-03-25,Registered Nurse,Health,Mass Customer,N,No,13.0,42
6206,84,2717,2017-06-13,1.0,Approved,Trek Bicycles,Road,medium,medium,290.62,215.14,38339.0,75.48000000000002,Frederic,McGown,Male,31,1981-03-25,Registered Nurse,Health,Mass Customer,N,No,13.0,42
6853,86,2717,2017-07-12,1.0,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,38206.0,110.56,Frederic,McGown,Male,31,1981-03-25,Registered Nurse,Health,Mass Customer,N,No,13.0,42
8511,56,2717,2017-02-28,1.0,Approved,OHM Cycles,Standard,medium,medium,183.86,137.9,35707.0,45.96000000000001,Frederic,McGown,Male,31,1981-03-25,Registered Nurse,Health,Mass Customer,N,No,13.0,42
9404,66,2717,2017-07-12,0.0,Approved,Giant Bicycles,Road,low,small,590.26,525.33,40487.0,64.92999999999995,Frederic,McGown,Male,31,1981-03-25,Registered Nurse,Health,Mass Customer,N,No,13.0,42
11732,96,2717,2017-11-16,0.0,Approved,WeareA2B,Road,low,small,1172.78,1043.77,37539.0,129.01,Frederic,McGown,Male,31,1981-03-25,Registered Nurse,Health,Mass Customer,N,No,13.0,42
16877,57,2717,2017-01-07,0.0,Approved,WeareA2B,Touring,medium,large,1890.39,260.14,33259.0,1630.25,Frederic,McGown,Male,31,1981-03-25,Registered Nurse,Health,Mass Customer,N,No,13.0,42
15,12,247,2017-06-11,0.0,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,38193.0,1055.82,Kristal,Joysey,Female,62,1983-05-06,Staff Accountant II,Financial Services,High Net Worth,N,Yes,13.0,40
883,38,247,2017-09-09,0.0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,37659.0,1702.5499999999995,Kristal,Joysey,Female,62,1983-05-06,Staff Accountant II,Financial Services,High Net Worth,N,Yes,13.0,40
3200,0,247,2017-01-21,1.0,Approved,WeareA2B,Standard,medium,small,175.89,131.92,37668.0,43.97,Kristal,Joysey,Female,62,1983-05-06,Staff Accountant II,Financial Services,High Net Worth,N,Yes,13.0,40
3833,22,247,2017-06-17,0.0,Approved,Solex,Standard,medium,medium,575.27,431.45,34115.0,143.82,Kristal,Joysey,Female,62,1983-05-06,Staff Accountant II,Financial Services,High Net Worth,N,Yes,13.0,40
5268,10,247,2017-02-26,0.0,Approved,Solex,Standard,medium,medium,1945.43,333.18,41922.0,1612.25,Kristal,Joysey,Female,62,1983-05-06,Staff Accountant II,Financial Services,High Net Worth,N,Yes,13.0,40
7140,33,247,2017-01-16,1.0,Approved,OHM Cycles,Road,medium,small,1810.0,1610.9,36498.0,199.0999999999999,Kristal,Joysey,Female,62,1983-05-06,Staff Accountant II,Financial Services,High Net Worth,N,Yes,13.0,40
8582,59,247,2017-08-23,1.0,Approved,WeareA2B,Standard,medium,small,1415.01,1259.36,38002.0,155.6500000000001,Kristal,Joysey,Female,62,1983-05-06,Staff Accountant II,Financial Services,High Net Worth,N,Yes,13.0,40
16,3,2961,2017-10-10,0.0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,37873.0,1702.5499999999995,Merv,Barradell,Male,56,1975-03-22,Assistant Manager,Health,Mass Customer,N,Yes,12.0,48
2140,15,2961,2017-04-19,1.0,Approved,Norco Bicycles,Standard,low,medium,958.74,748.9,40670.0,209.84000000000003,Merv,Barradell,Male,56,1975-03-22,Assistant Manager,Health,Mass Customer,N,Yes,12.0,48
7169,44,2961,2017-12-28,0.0,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76,40672.0,1660.88,Merv,Barradell,Male,56,1975-03-22,Assistant Manager,Health,Mass Customer,N,Yes,12.0,48
9656,39,2961,2017-11-01,0.0,Approved,Giant Bicycles,Standard,medium,large,1812.75,582.48,40336.0,1230.27,Merv,Barradell,Male,56,1975-03-22,Assistant Manager,Health,Mass Customer,N,Yes,12.0,48
11417,79,2961,2017-08-15,1.0,Approved,Norco Bicycles,Standard,medium,medium,1555.58,818.01,39298.0,737.5699999999999,Merv,Barradell,Male,56,1975-03-22,Assistant Manager,Health,Mass Customer,N,Yes,12.0,48
